song,genre
What say dead Will forgive living Cant believe things said Wonderful day killing Its killing What soul lying busted When lose control someone trusted With mind theres insufficient evidence might come But sometimes nowhere Theres demented sounds laughter Are haunted The ghost imagination cant Ive seen Howling moon somebody else believe Well alone And afraid Theres one way see After etc What say dead place burning says book read Yes theres chance returning Turn The fundamental principles Say nothing forever But voices hear clever cant know somebody else believes Well alone afraid Just one way see After etc,heavy metal
Have ever thought soul saved perhaps think youre dead stay grave God thought within head part Christ name read book school When think death lose breath keep cool Would like see Pope end rope think hes fool Well seen truth yes Ive seen light Ive changed ways And Ill prepared youre lonely scared end days Could youre afraid friends might say knew believe God They realize criticize God way love mind small fall pack wherever run Will still sneer death near And say may well worship sun think true people like crucified Christ think sad opinion one voiced Will sure day near say dont believe You chance turned cant retrieve Perhaps youll think say God dead gone Open eyes realize hes one The one save sin hate still jeer hear Yes think late,heavy metal
She sits silence midnight world Her faded pictures dancing girls Her distant dreamer seas time Her happy memories dancing mind days romance She queen dance Shed dance night away And seasons turn days years She holds pictures hears silent cheers The days grow lonely dancing queen And dances dreams days romance She queen dance Shed dance night away away away away,heavy metal
Everybodys looking feeling paranoid inside When step outside feel free think Ill find place hide Tell people going insane Tell people going insane Every day sit wonder life used Now feel like going life hard see tell people going insane Tell people going insane telling people listen sing dont sound cheerful think schizophren tell people going insane Tell people going insane,heavy metal
another back street kid Rock Roll music thing really dig Cant stop music going round inside head rock roll soldier gonna play dead Nobody know gonna take rock roll away Sitting back seat shiny limousine Living taxi cant remember Ive Playing music sitting hotel room Writing stars thinking hand doom Nobody know gonna take rock roll away Living life comes easy know way youre going Got see others eyes surprised Living like want dont come easy trying Sorting whats true lies wise Brought back street living salt land Seems musics paying tax demands listen music want see get high Cause back street rocker till day die Nobody know gonna take rock roll away,heavy metal
What stands Figure black points Turn around quick start run Find chosen one nooo Big black shape eyes fire Telling people desire Satans sitting hes smiling Watches flames get higher higher please God help Child cries mother Mothers screaming fire Satan points Opens door push nooooo end friend Satans coming round bend people running cause theyre scared The people better beware please,heavy metal
Revolution minds children start march Against world live And hate thats hearts Theyre tired pushed around And told Theyll fight world theyve And love comes flowing Children tomorrow live tears fall today Will sun rise tomorrow bringing peace way Must world live shadow atomic fear Can win fight peace disappear children world Listen say want better place live Spread words today Show world love still alive You must brave children today Children Grave Yeah,heavy metal
misty morning edge time Weve lost rising sun final sign misty morning rolls away die Reaching stars blind sky sailed across air learned fly thought could never end Wed glide ground learned run run Now seems world come undone say And Ooh say Were lost children sea made mountains shake laughter played Hiding corner world Then demon dance rushed nevermore Threw away key locked door say yeah And Yes say Were lost children sea misty morning edge time Weve lost rising sun final sign misty morning rolls away die Reaching stars blind sky say yeah And say Poor lost children sea yeah Look The sky falling Look The world spinning round round round Look The sun going black black Look Its never never never coming back look,heavy metal
Born graveyard adopted sin cultivate evil thats living within preacher tried saving black damaged soul Possessed demon full control The time coming life end With doomsday approaching hell well descend Religion wont save damage done The future ended begun Deaths hand crazy cant stand light day Watching victims knees pray God almighty never answers call Satan waiting righteous fall dont mind dying cause already dead Pray living Ill live head Dying easy living thats hard losing battle Satan God,heavy metal
Can hear people sing song tunes glory move one Refugees liberation marching Sing song rock nation write wrongs When take life steal shadow thats Left humanity Its getting closer change bound come Theres someone holding candles Sun Then answer says peace come around Stand line take time proud Take life steal shadow thats left Humanity Take man steal tomorrow thats left And Hear call soldiers field love Brothers sisters children dying love Refugees liberation marching Sing song rock nation write wrongs Take life steal shadow thats left Humanity Take man steal tomorrow thats left And Hear call soldiers field love Brothers sisters children dying love Hear call dying love know You dying love Brothers sisters dying love saints sinners Dying love Dying love,heavy metal
