song,genre
leave heart door wont say word Theyve said know dont play pretend Like scared whats coming next scared nothing left Look dont get wrong know tomorrow All ask last night Hold like friend Give memory use Take hand lovers matters ends Cause never love dont need honesty Its already eyes sure eyes speak one knows like And since youre one matters tell run Now dont get wrong know tomorrow All ask last night Hold like friend Give memory use Take hand lovers matters ends Cause never love Let lesson love Let way remember dont wanna cruel vicious And aint asking forgiveness All ask last night Hold like friend Give memory use Take hand lovers matters ends Cause never love,soul
When wrong never know loved life How slow round round Thinking time gave heaven platter baby gave everything never gave never lied never faked Only wanted save This love aint yet Theres much havent said Did find note wrote hid seam coat hard write lump throat even know cant let Why cold let truth told Tell thrill What thinking gave everything But still went kill gave heaven platter baby gave everything never gave never lied never faked Only wanted save Did find note wrote hid seam coat hard write lump throat even know cant let Oooh sometimes feel like dark Oooh thought die arms Did find note wrote hid seam coat hard write lump throat even know cant let Hope know wont let,soul
Found today singing name You said crazy crazy Sometimes sitting dark wishing Turns crazy But makes lose head And every time meant acting sensible You drift head And turn crumbling fool Tell run Ill race want stop Ill freeze And want gone Ill leave hold closer baby And make crazy Crazy Lately state cant help spin wish youd come Send spinning closer blood boils sweet taste Strips bare And gets favorite mood keep trying fighting feelings away But The crazier turn Pacing floors opening doors Hoping youll walk And save boy Because crazy Crazy,soul
Daydreamer Sitting sea Soaking sun real lover And making past Feeling girl Like hes never felt figure jaw dropper Looks good walks subject talk would hard chase But good catch And could change world With hands behind back You find sittin doorstep Waiting surprise And feel like hes hours And tell hell life Daydreamer With eyes make melt lends coat shelter Plus hes When shouldnt But stays Waits Then sees Theres way Could describe What Ill say Just hoping But find sittin doorstep Waiting surprise And feel like hes hours And tell hell life And tell hell life,soul
Hello wondering years Youd like meet Everything They say times supposed heal But aint done much healing Hello hear California dreaming used When younger free Ive forgotten felt world fell feet Theres difference And million miles Hello side mustve called thousand times tell sorry everything Ive done But call never seem home Hello outside least say Ive tried tell sorry breaking heart But dont matter clearly doesnt tear apart anymore Hello Its typical talk sorry hope youre well Did ever make town Where nothing ever happened Its secret That running time Hello side mustve called thousand times tell sorry everything Ive done But call never seem home Hello outside least say Ive tried tell sorry breaking heart But dont matter clearly doesnt tear apart anymore Ooooohh anymore Ooooohh anymore Ooooohh anymore Anymore Hello side mustve called thousand times tell sorry everything Ive done But call never seem home Hello outside least say Ive tried tell sorry breaking heart But dont matter clearly doesnt tear apart anymore,soul
want every single piece want heaven oceans Treat soft touch cruel wanna teach things never knew ooh baby Bring floor knees Let fall gravity Then kiss back life see Your body standing Baby dont let lights Baby dont let lights Baby dont let lights Lights lights Lights lights Down miss lights illuminates doubts Pull hold tight Dont let baby give light miss lights illuminates doubts Pull hold tight Dont let baby give light love way body moves Towards across room Brushing past every groove one like Baby bring heart Ill bring soul But delicate ego wanna step great unknown With setting tone Baby dont let lights Baby dont let lights Baby dont let lights Lights lights Lights lights Down miss lights illuminates doubts Pull hold tight Dont let baby give light miss lights illuminates doubts Pull hold tight Dont let baby give light play dirty dark Cause living worlds apart makes harder baby makes harder baby Harder baby harder baby miss lights illuminates doubts Pull hold tight Dont let baby give light miss lights illuminates doubts Pull hold tight Dont let baby give light miss miss miss miss miss miss miss miss,soul
Right feet theres air made bricks Pulls turns weak find repeating like broken tune And forever excusing intentions That give pretendings Which forgive time Without knowing They melt heart stone And hear words made You say name like could best tidy head one love one love Each every time turn around leave feel heart begin burst bleed desperately try link head But instead fall back knees tear way right forgive Without knowing Youve burnt heart stone And hear words made You say name like could best tidy head one love one love Why steal hand Whenever standing ground You build leave dead hear words made say name like best tidy head one love one love,soul
Picture perfect memories Scattered around floor Reaching phone cause cant fight anymore And wonder ever cross mind For happens time Its quarter one alone need Said wouldnt call lost control need And dont know without need Another shot whiskey cant stop looking door Wishing youd come sweeping way And wonder ever cross mind For happens time Its quarter one little drunk And need Said wouldnt call lost control need And dont know without need Yes rather hurt feel nothing Its quarter one alone need And said wouldnt call little drunk need And dont know without need need baby need,soul
Sometimes hole left hurts heart bad cuts deepest parts And fills mouth words cry How still trying stay inside Hearts break hearts wait make grow dust Then eyes cry souls sigh know hurts Our hearts break hearts wait make grow dust Then eyes cry souls sigh know hurts Every memories ache With empty ideas ones wed made But time goes age gets older love ones know theyre enough picture rain Cause heart break hearts wait make grow dust Then eyes cry souls sigh know hurts Our hearts break hearts wait make grow dust Then eyes cry souls sigh know hurts You know make might heal You know make might heal You know make might heal You know make might heal,soul
heard youre settled That found girl youre married heard dreams came true guess gave things didnt give Old friend shy Aint like hold back hide light hate turn blue uninvited Couldnt stay away couldnt fight hoped youd see face And reminded isnt Never mind Ill find someone like wish nothing best For dont forget beg Ill remember say Sometimes lasts love But sometimes hurts instead Sometimes lasts love But sometimes hurts instead yeah You know time flies Only yesterday time lives born raised summer haze bound surprise glory days hate turn blue uninvited Couldnt stay away couldnt fight hoped youd see face And youd reminded isnt Never mind Ill find someone like wish nothing best Dont forget beg Ill remember say Sometimes lasts love sometimes hurts instead Nothing compares worries cares Regrets mistakes memories made Who would known bittersweet This would taste Never mind Ill find someone like wish nothing best Dont forget beg Ill remember say Sometimes lasts love sometimes hurts instead Never mind Ill find someone like wish nothing best Dont forget beg Ill remember say Sometimes lasts love sometimes hurts instead Sometimes lasts love sometimes hurts instead,soul
