song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
Calling calling angels calling calling angels The night still moon bright saw distant light started walkin till found church outside town And stumbled closed door said sure Its baby lookin cant see knees Ive calling calling angels bring baby back must know shes tell know shes one knees tell please love Tell preacher man man Ive done wrong know really hurt Its lonely world livin ocean tears cryin greatest hour need done fool like calling calling angels bring baby back must know shes yes Ive fool And know shes one tell please And shes lonely Ill make understand That arms carry back heaven Yes Ive fool know shes one tell please Calling calling angels Hear calling calling angels calling calling angels Hear calling calling angels calling calling angels Hear calling calling angels calling calling angels,0,1,0,0,0,0,0,0,0,0,0
thought forever thought would last Gotta try make page past You didnt even say goodbye When slammed door Now lyin alone bed Trying forget All cruel words said All radio playing What favorite song enough enough wont take anymore picking floor Cause cant keep good man You cant keep good man cant keep good man Sugar cant keep good man Gonna dress finest Clothes And take streets wont lonely long Gonna put best moves every single woman see Now thought could break Add list Notch gun Let tell Ive got news baby dont break easily Cause cant keep good man You cant keep good man cant keep good man Sugar cant keep good man Ill scene Hangin friends This worlds gonna see smilin taking time erase memory Dont write letters Dont call phone Dont knock door Cause home know theres woman For man like Cause cant keep good man You cant keep good man cant keep good man Sugar cant keep good man enough enough wont take anymore picking floor Cause cant keep good man Baby cant keep good man Honey cant keep good man Sugar cant keep good man,0,1,0,0,0,0,0,0,0,0,0
Somewhere mountains northern Alabama The Carolina lady waits man Tennessee Somewhere motel Out Oklahoma Theres Alabama dreamer That man Tennessee Sometime late night The lonely wakes gently And knocks door But wont give But like every woman She needs feel wanted She thinks making love And goes sleep Carolina Dreamin lonely Carolina Cant see You always lady That dream holding tight That kiss tell goodnight Carolina Mountain dewe Sometime next day Mississippi freeway The Alabama dreamer homeward bound His conscious clear green eyes Carolina And shes waiting baby love man Lay Carolina Dreaming lonely Carolina Cant see You always lady That dream holding tight That kiss tell goodnight Carolina Mountain dewe Carolina love,0,1,0,0,0,0,0,0,0,0,0
New York City theres snow ground And California sunshines falling And maybe Memphis Gracelands lights And Atlanta Georgia theres peace earth tonight Christmas Dixie snowin pines Merry Christmas Dixie everyone tonight Its windy Chicago The kids school Theres magic Motown The citys move Jackson Mississippi Charlotte Caroline And across nation peaceful Christmas time And Fort Payne Alabama God bless whyallWe love yaHappy New YearGood night Merry ChristmasMerry Christmas tonight,0,1,0,0,0,0,0,0,0,0,0
All friends asking plan spend holidays People seem celebrate season many different ways Some weathers freezing cold others like warm dont care weather whether spend Christmas arms could drive mountains build fire watch snow could sail islands gentle breezes blow happy city happy farm dont care spend Christmas long spend Christmas arms last December Christmas spirit heart world lay cold shattered ashes dream fell apart But youre beside greater gift wrapped beneath tree And arms wrap around precious gift love give dont care spend Christmas long spend Christmas arms,0,1,0,0,0,0,0,0,0,0,0
Its time year whole world heart tot heart You feel love around see everywhere Christmas love songs singing Christmas love families comin home Christmas love childrens faces Christmas love Christmas love warm friendly feeling Christmas love hear church bells ring Christmas love sharing giving Christmas love gather round watch lights dancing tree The spirit season feel air Christmas love songs singing Christmas love families comin home Christmas love childrens faces Christmas love warm friendly feeling Christmas love hear church bells ring Christmas love sharing giving Christmas love Christmas love Christmas love,0,1,0,0,0,0,0,0,0,0,0
almost Christmas time There stood another line Tryin buy last gift two Not really Christmas mood Standin right front Was little boy waiting anxiously Pacing round like little boys And hands held pair shoes And clothes worn old dirty head toe And came time pay couldnt believe heard say Sir wanna buy shoes For mama please Its Christmas eve shoes size Could hurry sir Daddy says theres much time You see shes sick quite And know shoes make smile And want look beautiful mama meets Jesus tonight counted pennies seemed like years And cashier said Son theres enough searched pockets franticly Then turned looked said Mama made Christmas good house Most years without Tell sir gonna Somehow Ive gotta buy Christmas shoes laid money help And Ill never forget look face When said Mamas gonna look great Sir wanna buy shoes For mama please Its Christmas eve shoes size Could hurry sir Daddy says theres much time You see shes sick quite And know shoes make smile And want look beautiful mama meets Jesus tonight knew caught glimpse heaven love thanked ran knew god sent little boy remind What Christmas Sir wanna buy shoes For mama please Its Christmas eve shoes size Could hurry sir Daddy says theres much time You see shes sick quite And know shoes make smile And want look beautiful mama meets Jesus tonight want look beautiful mama meets Jesus tonight,0,1,0,0,0,0,0,0,0,0,0
Come church wildwood come church vale spot dear childhood little brown church vale How sweet clear Sabbath morning listen clear ringing bells Its tones sweetly calling come church vale Come church wildwood come church vale spot dear childhood little brown church vale There sleeps close church valley Lies one love well She sleeps sweetly sleeps neath willow Disturb rest vale Come church wildwood come church vale spot dear childhood little brown church vale There close site loved one Neath tree wild flowers bloom When farewell hymns shall chanted shall rest side tomb Come church wildwood come church vale spot dear childhood little brown church vale little brown church vale,0,1,0,0,0,0,0,0,0,0,0
Just outside Austin turned radio Turned satellite station She talkin callin show She said shed made choice Her mind madeup sound voice Clear across America tonight Clear coasttocoast tonight Shes long gone shes outta But shes comin loud clear Clear across America tonight Sounded like really coming All times hed done wrong She said hope hes listening And hungup telephone All sudden realized telling goodbye Clear across America tonight Clear coasttocoast tonight Shes long gone shes outta But shes comin loud clear Clear across America tonight Hello put air Give chance tell still care Get back line tell still love Said sorry son youre breaking Clear across America tonight Clear coasttocoast tonight Shes long gone shes outta But shes comin loud clear Across America tonight Across America tonight Clear across America tonight Clear across America tonight Clear across America tonight,0,1,0,0,0,0,0,0,0,0,0
Clear water blues thinkin Sittin fishin catchin Spendin days tryin lose These clear water blues Clear water blues driftin along Nowhere youre gone lonely heart dont know With clear water blues Lookin across ocean Blue see And seems like matter far Your memory wont set free Clear water blues wont leave alone Keeps remindin youre gone reflection showin fool clear water blues Clear water blues still thinkin Sittin fishin catchin Spendin days tryin lose These clear water blues These clear water blues,0,1,0,0,0,0,0,0,0,0,0
Sometimes morning coffees way strong And sometimes says says wrong But right wrong shes beside Like friend would And thats close enough perfect Now shes known wear pants tight And drinking puts like light Heaven knows shes angel shed really like And thats close enough perfect She kisses morning And smiles sleepy smile And dont say see eyes Dont worry woman think ought Cause shes close enough perfect Well sometimes gets starts cry But lady right Shes everything ever wanted shes Ill ever need Shes close enough perfect She kisses morning And smiles sleepy smile And dont say see eyes Dont worry woman think ought Cause shes close enough perfect shes close enough perfect,0,1,0,0,0,0,0,0,0,0,0
