song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
All love miss lovin All kiss miss kissin All love miss lovin All kiss miss kissin Ever since left baby never knew missin All love miss lovin All kiss miss kissin All love miss lovin All kiss miss kissin Ever since left baby never knew missin All lovin pretty baby That store All lovin pretty baby That store What could poor boy All lovin pretty baby All lovin pretty baby All lovin pretty baby What could poor boy All lovin pretty babay All kissin kissin All lovin gave pretty babay Ever since left baby never knew missin aaaah,0,0,0,1,0,0,0,0,0,0,0
Put biscuits oven Honey put buns bed wanna come inside kitchen Wanna taste shortening bread want jump skillet Honey tickle home fries gotta hambone working fill Wont try size Baby ask questions Ill tell lies Put biscuits oven Honey watch dumplin Rise early morning Rise late night Rise gotta get warning Rise gonna whet appetite Gonna shake bake honey want catcher rye wanna sop gravy From deep dish apple pie open menu wanna slice honey dew love honey like And ask questions And tell lies Put biscuits oven Honey watch dumplin Rise early morning Rise late late late night Rise giving warning Rise gonna wet appetite,0,0,0,1,0,0,0,0,0,0,0
took course hallelujah went night school blues took stuff said would cool But nothing seemed light fuse But past Like check thats mail She tall whiskey glass old hound dog loved chase tail Until met blind man Who taught see blind man Who could change night day And gonna make come Because comes sun well chasing clouds away Ive lovers like joy ride Some things never seem heavens turned landslide thank God woke dream Because comes sun well chasing clouds The way bees chase honey And drink flowers dry Well saving little money And dont yeah know reason Dont make sense lightin candles Theres much moonlight eyes Because comes sun Aint surprise Aint doubt Gonna open eyes,0,0,0,1,0,0,0,0,0,0,0
Checkmate honey beat damn game dice honey livin astral plane Feets ground heads goin drain heads win tails lose never mind Where draw line Indian summer Carrie floor She wet net winner rarely ever left store Shed sing dance night wrong right pass vile cross fingers dont take time Know draw line silver singin cowboy songs told Carrie promised wouldnt long Heads win tails lose lord crime dice honey youre salt youre queen brine Checkmate honey youre one whos got choose Where draw line Checkmate dont late Take another pull Thats right Impossible When got Youre boss toss The price dice Grab slice Know draw line,0,0,0,1,0,0,0,0,0,0,0
Well woke morning wrong side bed And got thinkin About things said About ordinary people And make sick And callin names kicks back Then hope trick cause sick complainin About many bills And sick bitchin Bout poodles pills And cant see humor About way life And think With fork knife Eat rich Theres one thing good Eat rich Take one bite come back Eat rich gotta get chest Eat rich Take one bite spit rest called head shrinker And told done said best diet Yeah hope fun And dont burst bubble rich folks get rude Cause wont get trouble When eats kinda food Now theyre smokin junk bonds And get stiff And theyre dancin yacht club With muff uncle biff But theres one good thing happens When toss pearls swine Their attitudes may taste like shit But real good wine Eat rich Theres one thing good Eat rich Take one bite come back Eat rich gotta get chest Eat rich Take one bite spit rest Believe good things That money cant buy Then wont get bellyache From eatin humble pie believe rags riches Your inheritance wont last take gray poupon friend And shove ass Eat rich Theres one thing good Eat rich Take one bite come back Eat rich gotta get chest Eat rich Take one bite spit rest Eat rich Theres one thing good Eat rich Take one bite come back Eat rich Dont stop goin crazy Eat rich Thats idea good time baby,0,0,0,1,0,0,0,0,0,0,0
Youre bad youre bad youre Youre bad youre bad youre You think youre love Like real sure thing But every time fall You get ass sling You used strong But ooh baby please Cause falling love hard knees Youre bad youre bad youre Youre bad youre bad youre making love When told loved thought cupid taking aim believer told That loved And called Someone elses name There aint gonna Beggin please You know want And aint one Youre bad bone And girlfriend agreed That falling love hard knees Youre bad youre bad youre Youre bad youre Chip old block Man youre much like sister fantasize must luck old libido Blowing transistor feel like hit fuck Yeah Jones love Yeah got DTs You say Bbut aint guarantees major love But minor key Cause falling love hard knees What looking Its got hard core Must kind nouveau riche chance hypnotic trance Lets get tighter leash Youre bad youre bad youre Youre bad youre bad youre You aint good said Down letter But like way hold microphone Sometimes good When bad even badder Dont give lip Ive got enough There aint gonna beggin please You know want And aint one Youre bad bone And girlfriend agreed That falling love hard knees jonesin love Yeah got DTs You say yeah But aint guarantees major love But minor key Cause falling love hard knees,0,0,0,1,0,0,0,0,0,0,0
got rip shoes And hole brand new shoes got Margarita nose And breath full Mad Dog Booze got fever fever fever fever Yeah threw outta jail tell aint fair tried kiss judge From electrica chair Yeah Cause tonight The guitars cranked And bass mans blown fuse And whole gang bangs Then excuse got fever fever fever fever Fever gives lust appetite hits like fangs From rattlesnake bite Yeah Cause tonight cant run away trouble There aint place far But right speed light Theres backseat car caviar feelin high forgot day Now feeling low Even slow feels way fast And booze dont work Cause drugs ran gas got fever fever fever fever The buzz youre gettin From crack dont last rather ODin crack ass Yeah Cause tonight first time ever lover fell asleep lawn And woke alone Making love crack dawn beg pardon sir The gangster love rides You know gotta chill gimme thrill Like burnin plague Yeah get outta way Fever may Hell cross bear long heaven honey dont care You look good baby look fine tell youre image perfect crime You get tired holdin tight think youre goin crazy Well may right Yeah Cause tonight,0,0,0,1,0,0,0,0,0,0,0
Take rocking horse Hit lights shut doors Grab ankles everyone Aint way fun Cant give gotta give upgive cmon Nancy Cant give get fancy Gotta get get cmon Nancy Cant get gotta get get For fantasies ass dont speculate slave masters bait And lots luck night Just waitin bright light fright Cant give gotta give get cmon Nancy Really good time Really good time Suckin moonshine underneath clothesline Really good time Love til sun Cant get gotta get Gotta get get cmon Nancy Cant give gotta get get get For fancy Gotta get get get cmon Nancy Cant get gotta get get Get around Take ride paint town Slow make fast Scream almost make last You know gotta really good time You know really gonna really good time Suckin moonshine underneath clothesline You know really gonna really good time You know really want love till sun cant get Get,0,0,0,1,0,0,0,0,0,0,0
For night Dwight Got Cadillac With spare tire back Got charge account bank Said aint got Got classic pool And big hair ghoul matter fool Said aint got Got baby liquor store played number fourfortyfour Got mojo dont cha know dressed place Got women left Got women right got chicks around Said aint got Whitford You know aint got baby,0,0,0,1,0,0,0,0,0,0,0
Well ready ready anybody Well ready ready anybody Well ready hope youre ready got town pistol graveyard frame shoots tombstone bullets ball chain drinkin TNT smokin dynomite hope schoolboy pick fight Cause ready ready anybody Well ready hope youre ready Now listen All pretty little chicks curly hair know feel like aint nowhere But stop youre honey come Ill prove baby aint square Cause ready ready anybody Well ready hope youre ready Well drinkin gin like never feelin good honey thats sure One drink honey wish would takes whole lotta lovin make feel good Cause ready ready anybody Well ready hope youre ready ready ready Well ready baby know ready,0,0,0,1,0,0,0,0,0,0,0
