song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
Boomin South Gwinnett like Lou Will man like Lou Will girls get along like Like Lou Will got new deal Matrix took blue pill shit fuckin shit save shit dont need fuckin body run shit Like Soulja thought told yah didnt listen Fieri kitchen magician like Macgyver Michael Meyers kill careers cut lights shit frightenin knew would end like fuckin psychic Young makin millions work night shift Work night shift Young makin millions work night shift Work work night shift Young gettin every single motherfuckin thing old gotta know fuck niggas souls heart cold Its prolly cause snow woes know wanna see roll mean back You know truth pretend friend Not guy buddy show lovin might DeMarcus Cousins public mean back didnt fuckin tape CNN tryna win awards shit looked forced Its nothin like Young makin millions work night shift Work night shift Young makin millions work night shift Work work night shift worried Ive saw What club went homies Baby dont worry know got never worried saw What club went homies Baby dont worry know got,0,0,0,0,0,1,0,0,0,0,0
Feat Gucci Mane fucking dumb wrote diamonds thumbs Its diamond dick thats diamond tongue cant feel baby cause romantically numb Emotionally drained came come Theres nothing Gods sun havent done got lot problems gettin pussy isnt one Girls like buses every mins run Now like potato chips cannot one And might like minute But dont like friends business And feel like dont deserve visit Cause aint kitchen want whipping uhhhhhhh know say love girl know say love girl Problem prolly tell shit everybody hear talking boo dont believe allstar team Jordan small forward never putting shot unless calls hesitation shooting draw How How Fuck man hoe Life moving fast fuck minutes Mixtape dropped started getting show Now get hundred fuck think Young money forever bet Gudda Jae Mack agree Fuck haters spend time attacking Shout girlfriend nigga lately distracting Wondering best Will Black Eyed Peas Girls wanna fuck niggas guy dont wanna Lining around block get see feel like Ill find wife exactly need You say whatever girl dont believe uhhhhhhh know say love girl know say love girl Problem prolly tell shit everybody hear talking boo dont believe,0,0,0,0,0,1,0,0,0,0,0
You know lot girls Thinking songs This get confused This ones Baby youre everything youre ever wanted could real big bigger ever done You everything hoes aint never want forever swear could spend whatever Cause hold every time hit When get right promise gone live She make beg till give And say thing every single time say You fuckin best You fuckin best You fuckin best You fuckin best You best ever Best ever Best ever Best ever say fuckin Know gotta roommate Call theres one Put key mat know shawty hittin spots aint even know And dont even ask twice You could heart could share like last slice Always felt like accustomed fast life Have nigga thinking met past life Sweat pants hair tied chillin makeup Thats youre prettiest hope dont take wrong You dont even trip friends say aint bringing drake along You know working soon make home And patient waiting room Never pay attention rumors assume And girls prove one never get confused wit Cause Sex love pain baby tank shit Buzz big could probably sell blank disk When album drop bitches buy picture And niggas buy two claim got sister Magazine paper girl money aint issue They bring dinner room ask initial She call referee cause official shirt aint got stripes make pussy whistle Like Andy Griffith theme song And told put jeans Double cup love youre one lean Feeling fix really get fiend Yeah know condo crack spot Every single show reppin like mascot Get back make fuckin bra strap pop All slot till nigga hit jack pot Baby youre everything youre ever wanted could real big bigger ever done You everything hoes aint ever want forever swear could spend whatever Cause hold every time hit When get right promise gone live She make beg till give And say thing every single time say You fuckin best You fuckin best You fuckin best You fuckin best You best ever Best ever Best ever Best ever say You fuckin best You fuckin best You fuckin best You fuckin best You best ever Best ever Best ever Best ever yea See type joint gotta dedicate somebody Just make sure special somebody Young money yeah yeah You know got,0,0,0,0,0,1,0,0,0,0,0
This truthful shit seems like everything used And hate hearing stories bout youve Thats gotta hide feeling inside still think confident damn gonna last Your pedastool Are moving fast Feel like crazy competition past Thats gotta ask anything brand new Brand new brand new brand new brand new anything brand new Brand new brand new brand new brand new brand new This something personal Highly doubt feeling reversible Knowledge pain hurts know That attempt hide put mistakes aside dont ever question damn cant even find perfect brush paint whats going mind Racing couple steps behind Thats gotta ask anything brand new Brand new brand new brand new brand new anything brand new Brand new brand new brand new brand new Brand new girl anything brand new everything late Did take clothes like Did give loving like Did spend night bed first date Tell baby late,0,0,0,0,0,1,0,0,0,0,0
Word road clique blow You aint gotta run tell nobody already know Weve living high theyve talking low But cool know heard Thats asked Thought knew team Thats asked Thought knew team Are know team Man niggas got stop crowding scene Baby girl need stop pride self esteem Got angry girl magazines Baby look like star camera Only camera camera look like love camera Only camera camera Dont listen lies swear lies You know could knight shining armor tires Trying tell one come holla Before next thing ymcmb Are know team You know get told girl see behind scene She spilled whiskey shirt gonna get cleaned She going way hard someone intervene Baby look like star camera Only camera camera might look like care camera Only camera camera Dont listen lies swear lies You know could knight shining armor ties Girl love like Prince new kid crown Bunch underground kings thought knew get Are thought knew team Are thought knew team,0,0,0,0,0,1,0,0,0,0,0
type nights morning comes soon And nothing Watch going way When shouldve went home Only time day get spend trippin used sleep crib Should drive right live pick way aint spoke long probably put past still get wet still make laugh You call work aint much ask could pour drink burn something Come thru come thru come thru come thru Girl know got thangs Girl know got thangs get ass car come thru Come thru come thru come thru come thru Girl know got thangs Girl know got thangs get ass car come thru Last night brought DOA studio They already stage booty pole Its supposed lot hard working going But fuck focus twerkin going Someone put order chicken Told girl order need kitchen Yeah know got hookup wait cook Baby heat stove dishes know Rap game Crack game aint different know Last album booming something vicious know And know need back life Girl know got know got thing like Girl got thing real When mission make Who used sleep floor lived basement Who else got things need late always pour drink let burn something Come thru come thru come thru come thru Girl know got thangs Girl know got thangs get ass car come thru Come thru come thru come thru come thru Girl know got thangs Girl know got thangs get ass car come thru Why long Why long Why Why Who crying Who flying Whos bed sleeping Someones hiding Where You deserve rounds tonight come thru girl deserve rounds tonight Come thru girl deserve rounds tonight Come thru girl deserve rounds tonight Rounds tonight come thru girl deserve rounds tonight Come thru girl deserve rounds tonight Come thru girl deserve rounds tonight,0,0,0,0,0,1,0,0,0,0,0
Cause ooooh Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah tell something But tell wanna talk talk You say got lot mind sit lets talk hate see feel way tell make better Make better babe hey Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Really tell gotta get talk Cause getting little long talk tell would like help help help Cause dont really want tell without Yeah yeah yeah yeah yeah yeah yeah yeaaaah Tell Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Went nigga serving tele venues Manchester swerving Balotelli The fuck trying tell Bothers got play therapist That shits embarrassin They even bring niggas make comparison They got forgive watch Still aint got time bitch acting iffy Running city niggas give kidney Selling niggas gotta kidding even still discussion Dont ever wake disgusted Every million gain enemy cousin And peoples feelings changed ever since became somethin Girls becoming ladies And friends babies And babies dropping dead city This shit crazy And dont know speaking helps This shit thats mind keep You know Cant talk Lets talk talk Tell need Just tell baby tell baby Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Yeah yeah yeah yeah yeah yeah yeah yeaaaah Came far give Gotta try cause cant Cant talk Tell need Cant talk Tell need,0,0,0,0,0,1,0,0,0,0,0
Somewhere psychotic iconic Somewhere want got Somewhere sober lifted Somewhere mistress commitment But stay girl always stay Get lay Promise break everybody break Everyone wait much plate People believed dont even show face What got say Nothin say Nothin really changed still look way What say What say You might feel like nothin still drinkin low Mobbin low Fuckin low Smokin low still plottin low Schemin low The furthest thing perfect Like everyone know drinkin low Mobbin low Fuckin low Smokin low plottin low Schemin low The furthest thing perfect Like everyone know And hate dont think belong Just busy runnin shit run home You know paper passion Bittersweet celebrations know cant change happened cant help cant help young selfish made every woman feel like mine one elses And hate Stop pretendin stop frontin cant take Girl dont treat like stranger Girl know seen naked Girl know remember dont pretender Gettin high condo thats comes together You know stay remniscin And makeup sex tradition But missin girl And might feel like nothin still drinkin low Mobbin low Fuckin low Smokin low still plottin low Schemin low The furthest thing perfect Like everyone know drinkin low Mobbin low Fuckin low Smokin low plottin low Schemin low The furthest thing perfect Like everyone know Drinkin smokin fuckin plottin Schemin plottin schemin gettin money Drinkin fuckin smokin plottin schemin Plottin schemin getting money This life mama told right got worried like make sure save slice Spoons serve fork knife Your actions make doubt Your lack effort got rapping different This shit wanna Play shit funeral catch slippin Naked women swimming thats living Donate million children thats feeling nigga filling arenas fuck see Derrick Rose knee got reup Yours truly boy build build Yall niggas build destroy You niggas party much man chill record filler feel aint feel Yes Lord shit wanna yeah This shit wanna,0,0,0,0,0,1,0,0,0,0,0
might strung compliments Overdosed confidence Started give fuck stopped fearing consequence Drinking every night drink accomplishments Faded way long floating consciousness And sayin back agree take time shit still believe someone tell fell needed And wanna see pick back well whered leave know exaggerated things got like Tuck napkin shirt cause mobbin like You know good well dont want problem like You gone make someone around catch body like dont please dont cause one goes And Drizzy got money Drizzy gonna pay Those brothers aint even gotta say Thats something know They know know know They know know know They know know know Yeah know yeah That real rise Fuck guys even gave chance decide Now something know They know know know Yeah yelling money everything money mind Then wanna ask got empty Tell apologize happened time She says missed old Drake girl dont tempt dont get theyll That new shit got overdue You better suppose like gotta still cant deny fact true Listen expressing feelings Soap opera rappers niggas sound like children And thats thinking bout come make killing guess really millions You know game even got like You gone hype make catch body like Cause live isnt hobby like When get shit play aint even gotta say know yelling money everything money mind Tell apologize happened time They know,0,0,0,0,0,1,0,0,0,0,0
Drake got eyes Youre everything see want hot love emotion endlessly cant get left mark want hot love emotion endlessly Cause youre good girl know You act different around Cause youre good girl know know exactly could Just hold goin home Just hold goin home Its hard things alone Just hold goin home home Jhene Whats Been minute since kicked You caught With chicks dont get youre star love You shouldnt deal never make feel like Cause love love enough Thats trust You afraid Darlin give cannot take love Drake needed hear hate youre submissive Passive aggressive texting feel distance look around peers surround boys trippin like money makes difference dont make different Started realizin couple places could take want get back kid basement want take deeper money vacation And influence generation thats lackin patience Ive dealin dad speakin lack patience Just old man gettin back basics Weve talkin bout future time wasted When put bottle girl man amazin Well couple Coronas might rolled white paper somethin hold even talked couple moments said hash like couple grown ups You flower child beautiful child zone Lookin like came mother favorite line hit Who fuck wants alone You dont even know want love anymore search somethin missin disappear bored But girl qualities lookin Who settlin Who better boy huh Jhene love love enough Drake love enough Jhene Thats trust know Drake Talk baby Jhene afraid Drake What afraid Jhene Darlin give cannot take love Drake Give cannot take love Jhene You cannot take love Drake You need Drake love Jhene None fake love Drake Turn commercial break love make love,0,0,0,0,0,1,0,0,0,0,0
