song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
fool never learns get away run away heart begins break fool never learns Hell wait around hang around see much heart take fool never learns girls love game And girls treat fool fool never learns And gonna foolish thing gonna stick gonna hang around wait around Hope shell love day They say broken heart dont mark end time That lotsa girls whod love mine But dont believe could fall love Cause cant remove pain fool never learns And gonna foolish thing gonna stick gonna hang around wait around Hope shell love day They say broken heart dont mark end time That lotsa girls whod love mine But dont believe could fall love Cause cant remove pain fool never learns And gonna foolish thing And gonna foolish thing And gonna foolish thing,0,0,0,0,0,0,1,0,0,0,0
Oooohh Baaaaby doll Hmmmmmm Theres many guy wholl sing blues His dream lie hearts shoes wasnt green ways smart Till hit scene took apart Hell tell plain day Keep away baaaaaaaby doll Youll see eyes warning You oughta ooheyed shell lose good long shes warm livin sweet Then shell raise storm youre back street You might well know friend thats end Youre cooked youre She baby doll shell,0,0,0,0,0,0,1,0,0,0,0
The Christmas tree decorated shoppings done Stockings line fireplace one one All presents look pretty tied brightly colored bows All things help make season still everybody knows Christmas needs love Christmas Christmas needs hearts joy Carolers singing silver bells ringing laughter girl boy Christmas needs love Christmas Its need year year left doubt The greatest gifts love Christmas needs love Christmas Christmas needs hearts joy Carolers singing silver bells ringing laughter girl boy Christmas needs love Christmas Its need year year left doubt The greatest gifts love,0,0,0,0,0,0,1,0,0,0,0
The days wine roses laugh run away like child play Through meadow land toward closing door door marked nevermore wasnt The lonely night discloses passing breeze filled memories golden smile introduced The days wine roses Just passing breeze filled memories golden smile introduced The days wine roses youoooo,0,0,0,0,0,0,1,0,0,0,0
Falling love love falling make believe Falling love love playing fool Caring much juvenile fancy Learning trust children school fell love love one night moon full unwise eyes unable see fell love love love everlasting But love fell fell love love one night moon full unwise eyes unable see fell love love love everlasting But love fell,0,0,0,0,0,0,1,0,0,0,0
takes forever wait For thousand summers wait Till youre back beside till holding Till hear sigh arms Anywhere wander anywhere Every day remember love heart believe heart know That forevermore Ill wait The clock tick away hours one one Then time come waitings done The time return find run Straight waiting arms takes forever wait For thousand summers wait Till youre beside till touching And forevermore sharing love,0,0,0,0,0,0,1,0,0,0,0
could back places Feeling love could back could back Crystal waters yesterday Golden rainbows washed away Lonely clouds say could back could back live arms love like run free wind forever Silver wings eternity Take back like child see Faces lost memories could back could back live arms love run free wind forever run,0,0,0,0,0,0,1,0,0,0,0
Hear lonesome whippoorwill sounds blue fly The midnight train winding low lonesome could cry Ive never seen night long Where time goes crawling The moon went behind cloud hide face cry The silence falling star Lights purple sky And wonder lonesome could cry lonesome could cry lonesome could cry,0,0,0,0,0,0,1,0,0,0,0
Its unusual day Feel like throwing worries away old nativeborn Californian would say Its unusual day Theres unusual sky Not sign cloud passing And want sing throw heart ring Its unusual day There people meeting people There sunshine everywhere There people greeting people And feeling Spring air Its unusual time keep feeling temperature climb heart wont behave usual way Well theres one thing say Its unusual day There people meeting people There sunshine everywhere There people greeting people And feeling Spring air keep feeling temperature climb climb climb climb climb climb climb Till one thing say Its unusual unusual Most unusual daayay Most unusual daay,0,0,0,0,0,0,1,0,0,0,0
This night love The shining hour Kalua Her song air Her lips waiting Who Kaluas love Who lover Who lover Before night old arms hold Kalua And trandewinds blow Soft low Our love blossom bright night And stars sing The love song Kalua,0,0,0,0,0,0,1,0,0,0,0
