song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
The stakes high seize chance case die This last dance moments hesitation always pay price Hiding wings like walking thin ice All yesterdays soon ending Hide walking shadow stage All yesterdays soon forgotten Theres easy way turn page The vision real The prize take Were even keel demons way stack cards one day find heaven Both sides dice always adding seven All yesterdays soon ending Hide walking shadow stage All yesterdays soon forgotten Theres easy way turn page Yesterdays tomorrow tomorrows yesterday Find More lyrics Destinys forgotten theres another game play future perfect need present tense All yesterdays hanging suspense Hang banners high outward walls The battles lost Thats hammer falls Racing future must never lose way All take tomorrows chance today All yesterdays come age Now sing different song All yesterdays departed The writing wall soon gone All yesterdays Now sing different song All yesterdays The writing wall soon gone All yesterdays come age The writing wall soon gone,0,0,0,0,0,0,0,0,1,0,0
Lead vocal dean ford Well sympathise completely theres nothing humble servant message Well know good reasons theres things youve got But boatman wont waiting hes leaving And cant take matter cant take Not place youre going Well sympathise completely theres nothing obeying orders simple soul like Well really persuasive Ive heard And boatmans getting restless stands upon shore And cant take matter cant take Not place youre going Cant take,0,0,0,0,0,0,0,0,1,0,0
The traveler always leaving town never time turn around And road hes taken isnt leading anywhere seems completely unaware The traveler always leaving home The kind life hes ever known When every moment seems race time Theres always one mountain left climb Days numbers watch stars see far Someday youll know remember Days numbers count stars far One day youll know The traveler awaits morning tide doesnt know whats side But something deep inside Keeps telling hasnt found reason say The traveler passing cannot understand point view Abandoning reality unsure hell find The traveler close behind Days numbers watch stars see far Someday youll know Remember Days numbers count stars far One day youll know Remember Days numbers watch stars see far Someday youll know,0,0,0,0,0,0,0,0,1,0,0
believe power magic change mind And need believe someone Turn look behind When living dream world Clouds got way gave moment madness And threw away Dont answer dont break silence Dont let win Dont answer stay island Dont let Run away hide everyone Can change things weve said done believe power magic Its fantasy need believe someone Just pretend aint enough meet strangers cant set free turn back forever mean Dont answer dont break silence Dont let win Dont answer stay island Dont let Run away hide everyone Can change things weve said done,0,0,0,0,0,0,0,0,1,0,0
Lead vocal marti webb This golden day mine For every moment time time lose way symphony night stars dance light And music far away They say love dance Dont let music fade away Dont let moment pass Without reason rhyme The sweet bouquet wine Will vanish air The innocence rose She leaves goes For world share Some days clouds drifting open eyes watch And wonder fly Some nights orion runs fast look stars say Dont let moment pass But soon golden age past Just seemed miracles Where much ask And though world may turn fast seem like paradise Dont let moment pass,0,0,0,0,0,0,0,0,1,0,0
Dont think Sorrys easily said Dont try Turning tables instead Youve taken lots chances But aint gonna give anymore Dont ask Thats goes Cause part knows youre thinking Dont say Words youre gonna regret Dont let Fire rush head Ive heard accusation And aint gonna take anymore Believe The sun eyes Made lies worth believing eye sky Looking read mind maker rules Dealing fools cheat blind And dont need see anymore know read mind read mind read mind read mind Dont leave False illusions behind Dont cry aint changing mind find another fool like Cause aint gonna live anymore believing Some lies signs deceiving eye sky Looking read mind maker rules Dealing fools cheat blind And dont need see anymore know read mind read mind read mind read mind eye sky Looking read mind maker rules Dealing fools cheat blind And dont need see anymore know read mind read mind read mind read mind,0,0,0,0,0,0,0,0,1,0,0
Whats use worrying well tomarrow All need today Dont care youre rich beg borrow You always find way Dive breakaway Fall free Freedoms air Its calling Your heart Fall free Blaze accross sky The perfect fall The perfect high Mother earth looks peaceful climb towards ceiling must ten thousand feet Hear windrush screaming While fight curb feelings stand beside door Let spirits soar Fall free Freedoms air Its calling Your heart Fall free Blaze accross sky The perfect fall The perfect high Vocal steve overland Guitars ian bairnson Drums stuart elliott Bass john giblin Keyboards gary sanctuary richard cottle Additional backing vocals peter beckett,0,0,0,0,0,0,0,0,1,0,0
Where children growin And spend lives theres noone lend hand dont want live dont want stay Aint gonna spend rest life Quietly fading away Games people play You take take leave Things say Are right promise Moon Stars Would believe Games people play middle night Where children grown And spend time knowin nobody gives damn dont want live dont want stay Aint gonna spend rest life Quietly fading away Games people play You take take leave Things say Just dont make right tellin truth right believe Games people play middle night Games people play You take take leave Things say Are right promise Moon Stars Would believe Games people play middle night Games people play You take take leave Things say Just dont make right tellin truth right believe Games people play middle night,0,0,0,0,0,0,0,0,1,0,0
Watching waiting rising falling Listening calling drifting Touching feeling seeing believing Hoping sending leaving couldnt say gemini tried write million words day see shadow coming closer Then watch drifting away Watching Waiting rising falling Listening calling drifting Touching feeling seeing believing Hoping Sending leving couldnt say gemini travelling million worlds away see Shadow coming closer Then watch drifting away,0,0,0,0,0,0,0,0,1,0,0
You dont fool tinted eyes makeup The firebird hides shadow wake Your golden hair black Your jeans tight hide slack Try company dont fool Well rather man play role like rather man sin soul like rahter man slave way rather man cause man dont crawl like You dont fool easy lies fables You wont see ten buck furs sables You sparkle like snake The wine real glass fake Blame apple tree dont fool Well rather man play role like rather man sin soul like rahter man slave way rather man cause man dont crawl like Your golden hair black Your jeans tight hide slack Try company dont fool Well rather man play role like rather man sin soul like rahter man slave way rather man cause man dont crawl like rather man cause man dont crawl like rather man cause wouldnt wanna like,0,0,0,0,0,0,0,0,1,0,0
Somethings wrong house today While master riding servants decided play Somethings wrong house today Somethings going may price pay Theres evil brewing getting control And helpless cant put right Something unrighteous possessing soul And cold heat night Somethings wrong house today While sorcerer slept apprentice decided play While master hiding servants decided play Might much sun much something air Whatevers happening nobody else aware Theres evil brewing getting control And helpless cant put right Something unrighteous possessing soul And cold heat night Somethings wrong house today Somethings going may price pay,0,0,0,0,0,0,0,0,1,0,0
