song,alternative rock,country,folk,hard rock,heavy metal,hip hop,jazz,pop,progressive rock,rock,soul
first part journey looking life There plants birds rocks things There sand hills rings The first thing met fly buzz And sky clouds The heat hot ground dry But air full sound Ive desert horse name felt good rain desert remember name Cause aint one give pain After two days desert sun skin began turn red After three days desert fun looking river bed And story told river flowed Made sad think dead You see Ive desert horse name felt good rain desert remember name Cause aint one give pain After nine days let horse run free Cause desert turned sea There plants birds rocks things There sand hills rings The ocean desert life underground And perfect disguise Under cities lies heart made ground But humans give love You see Ive desert horse name felt good rain desert remember name Cause aint one give pain,0,0,0,0,0,0,0,0,0,1,0
Eyes Holdin back tears That theyve held years How tell dont want make cry Why even try Why even try Days Whered fast Finlly lost last How tell dont want let Why even try Why even try How tell dont want let Why even try Why even try,0,0,0,0,0,0,0,0,0,1,0
Its late night alone call hear voice phone Say youre mine tell true Say love still right Cause cant fall asleep lullaby And miss much dont wanna cry love oooooo dont know Here part crowd Need bad dreamin loud Say youre mine tell true Say love still right Cause cant fall asleep lullaby And miss much dont wanna cry love oooooo dont know Its late night alone call hear voice phone Sayin mine sayin true Please say love still right Cause cant fall asleep lullaby And miss much dont wanna cry love oooooo dont know,0,0,0,0,0,0,0,0,0,1,0
Written dan peek Found hideaway highway Alone sitting Theres place rather seems Home miles away home And theres place rather Cant see You hold life hands And one takes man Who gives best make someone understand Ive flown miles away home And theres place rather Cant see You hold life hands And one takes man Who gives best make someone understand Home miles away home And theres place rather Cant see cant see cant see Cant see cant see cant see Cant see cant see cant see,0,0,0,0,0,0,0,0,0,1,0
When feel youve nobody turn When feel youre give The sun goes darkness surrounds And runnin dry lovin cup Cast spirit cast body let Put fire let cool tears let drown You cant ignore feeling inside mind youre without friend The spirit every doorway You say ever end Cast spirit cast body let Put fire let cool tears let drown When feel nobody turn You say cant The sun goes darkness surrounds You feel want free Cast spirit cast body let Put fire let cool tears let drown Cast spirit Cast spirit Cast spirit,0,0,0,0,0,0,0,0,0,1,0
Well drivin onward Through pourin rain Theres ticket waitin gotta catch train The yellow racin dreamboat California air Single engine cowboy Out county fair baby hurry baby come see baby let hours flee baby come see The silver clouds August Lovers names trees Imagine running water You wadin knee deep baby hurry baby come see baby let hours flee baby come see Theres world waitin Just unfold How know dont see dont see Those yellow racin dreamboats California air Theres ticket waitin guess Ill catch guess Ill catch baby hurry baby come see baby let hours flee baby come see baby hurry baby come see baby let hours flee baby come see baby hurry baby come see baby let hours flee baby come see,0,0,0,0,0,0,0,0,0,1,0
Sat thinking heart All places came apart Theres one thing need know Why always chasing rainbow Get get get get get get get huh ran meadow looking dream Truth never like seems guess theres always far Why always chasing rainbow Get get chasing rainbow Get get chasing rainbow Get get chasing rainbow Get get get huh Where light Where love Where dreams Frittered away Gone time takes get Get get get Get get get huh Get get get chasing rainbow Why always chasing rainbow draw picture cause might help point place went wrong The color use blue Why always chasing rainbow Get get chasing rainbow Get get get huh Get get chasing rainbow Why always chasing rainbow Get get chasing rainbow Get get chasing rainbow Get get chasing rainbow Why always chasing rainbow Get get chasing rainbow Get get get huh,0,0,0,0,0,0,0,0,0,1,0
The boy cried Gaily ground joy something found come children get heads back together come children get heads back together come children get heads back together The days getting warmer The nights getting shorter And know make cause know alive But dont take way well survive throw far away But Youd tell stay come children get heads back together come children get heads back together come children get heads back together Again Again Again,0,0,0,0,0,0,0,0,0,1,0
look kids time year When ole Santas way Dont look top candy apple sleigh Headin coast Over surf sand The warm wind hair Make mistake Holiday fun good cheer Its Christmas time California wooh The boulevard lights red green snow birds make scene Hollywood doesnt miss beat Its another childhood dream Headin coast Over surf sand The warm wind hair Make mistake Holiday fun good cheer Its Christmas time sure California People say cant true That spirit lives But youll find Christmas everywhere Under palm trees sun moon Headin coast Over surf sand The warm wind hair Make mistake Holiday fun good cheer Its Christmas time California Make mistake Holiday fun good cheer Its Christmas time California California California wooh,0,0,0,0,0,0,0,0,0,1,0
last night ball And comin home wasnt thinkin nothin And sidewalk see little glass slipper starin back Cinderella Well superstitious smarter seem And knew love know mean When saw slipper occurred The shoe fit fit Cinderella Cinderella When find fairy tale never let Cinderella Now girls hold fascination think wherever may search whole life Cause one else ever Cinderella Cinderella When find fairy tale never let She give heart home Until day Ill alone With slipper dream Cinderella Cinderella Cinderella,0,0,0,0,0,0,0,0,0,1,0
Clarice lay mind hard find Follow wind way away Behind open door lies million Follow wind way away Time coming soon Ill find Time coming soon Ill find Time coming soon time coming soon Behind open door lies million Follow wind way away Time coming soon Ill find Time coming soon Ill find Time coming soon time coming soon,0,0,0,0,0,0,0,0,0,1,0
Lately hasnt easy Ive wanderin night Searchin tryin find answer Why situation Ive sailing close wind Trying keep head water Close wind without Ive sailing close wind Everyday gets harder But youre need survive For long felt like walking water found hard part waking without morning Ive sailing close wind The weight worlds shoulders Close wind without Ive sailing close wind The loneliness neverending Open heart come aboard And back together know love everlasting still believe theres chance For happy ending Peace reign earth LIfe worth yeah pray every single morning That time much stronger Ive sailing close wind Help try find shelter Close wind without Ive sailing close wind But inside safe warm Dont afraid storm Ive sailing close close wind Dont afraid storm Ive sailing close close wind Dont afraid storm,0,0,0,0,0,0,0,0,0,1,0
Some see poetry Come broken car The company Carousel wishing well wonder night spoke delight company Can hear summer calling Can hear call Can hear summer calling Can hear call Broken dream token scheme Silver man telegram For company Scalding blue come talk Search cave grave company Can hear summer calling Can hear call Can hear summer calling Can hear call Can hear summer calling Can hear call Can hear summer calling Can hear call Can hear summer calling Can hear call Can hear summer calling Can hear call,0,0,0,0,0,0,0,0,0,1,0
Secret calls long hours Suspicions rise whisper Someones hiding something Whats going She smiles finds excuse Meets somewhere edge town For one night real love How wrong Cause turn lights rented room tonight Two lovers wont lonely anymore When desperate love risk high Cheating hearts making alibis shadows someone waiting Waiting lover come tonight cheaters conscience pride spend night another mans wife Lie best friend never think twice knows find longs And anything cause wants bad Love many faces faces hide Cause turn lights rented room tonight Two lovers wont lonely anymore When desperate love risk high Cheating hearts making alibis shadows someone waiting Waiting lover come tonight When desperate love risk high Cheating hearts making alibis shadows someone waiting Waiting lover come tonight When desperate love risk high Cheating hearts making alibis shadows someone waiting Waiting lover come tonight When desperate love risk high Cheating hearts making alibis shadows someone waiting Waiting lover come tonight,0,0,0,0,0,0,0,0,0,1,0
Starlight falling hair Sometimes wonder know Awake morning smile face The old feeling cant place And say dont cry baby You know Ill always one cares Dont cry baby Come closer let wipe away tears man came violin played like Ive never Courted forevermore bow touched strings made whole world sing Dont cry baby You know therell always someone cares Dont cry baby Come closer let wipe away tears know Ive wrong Youve strong guess belong baby You know Ill always one cares Dont cry baby Come closer let wipe away tears The sound voice singing songs night Have taken far away mystified The songs lovers brought tears eyes The words youd spoken made realize,0,0,0,0,0,0,0,0,0,1,0
Written dewey bunnell Found hideaway Somebody told time right keep ridin hang tight heard cry dog night But nobody told would right Dont let get But nobody make sound Dont let get took ride hill night The man crazy wouldnt fight With bullets back money sack robbed bank never looked back Dont let get But nobody make sound Dont let get took bank kept runnin never slow The ride fun know went mexico But action felt right Still haunts night took bank kept runnin never slow The ride fun know went mexico But action felt right Still haunts night alright Dont let get cause nobody made sound Dont let get Theyll lucky ever found Dont let get Dont let get Dont let get Dont let get,0,0,0,0,0,0,0,0,0,1,0
The waves come Crash shoreline Salty water dont know Its mine grab girl And dont wastin time And lets water tonight White capped clouds Dance sunlight Purple fishes watch And show delight The weathers fine And everythings right lets water tonight Lets water tonight Come come Come water Come come Come water Down water Island music Sways palm tree Friends mine lay back And talk times werent free lets fun And means And lets water tonight Lets water tonight Down water Down water Down water Down water Down water Down water,0,0,0,0,0,0,0,0,0,1,0
stayed night long Drinkin thinkin bout anything left anything Cause dont know say anymore dont know even score Starin hard big front door time find shoes aint loss love tryin hard live Cause dont know say anymore And dont know even score With Cause dont know say anymore And dont know even score love question whos weak whos strong cant see wheres compromise Its confusin thing gone Its gotta stop youve gotta realize Cause dont know say anymore And dont know even score Yes Cause dont know say anymore And dont know even score Yes dont know say anymore And dont know even score Yes,0,0,0,0,0,0,0,0,0,1,0
You let follow around helped status town Well didnt know name Theres truth claim think better stop foolin round think called lesson learned When one close suddenly turns Leaves standing Got place call home think better stop foolin round Now time make amends Hope message dont offend And hope doesnt drive round bend Leaves standing Got place call home think better stop foolin round Yes think better stop foolin round Yes think better stop foolin round,0,0,0,0,0,0,0,0,0,1,0
