song,genre
watching news tonight And world People singing carrying signs All world Everybody walking hand hand Through cities Ive And though tonight You know Ill back Ill back Ill back plane tonight Germany And world There lots people like All world Who know bomb must never fall All world And must learn live friends All world All world world making news tonight All world Because know right All world Everybody walking hand hand All world Through streets Europe Japan All world All world world,folk
Anytime youre feelin lonely Anytime youre feelin blue Anytime feel downhearted That prove love true Anytime youre thinkin Thats time Ill thinkin anytime say want back Thats time Ill come runnin back Anytime youre feelin lonely Anytime youre feelin blue Anytime feel downhearted That prove love true Anytime youre thinkin Thats time Ill thinkin anytime say want back Thats time Ill comin back,folk
Traditional arranged Arlo Guthrie Come old time cowboys And listen song Please grow weary Ill detain long Concerning wild cowboys Who agree And spend summer pleasant range buffalo Well found Griffin eighteen eightythree When man name Creagho Come awalkin Sayin How young fella And howd like And spend summer pleasant range buffalo Well work right drover say goin buffalo range Depends upon pay But pay good wages Transportation fro think might range Buffalo Well yes pay good wages And transportation youll agree work Until seasons But get homesick And try run away Youll starve death trail And youll also lose pay Well flatterin talkin signed quite train Some ten twelve number able bodied men And trip pleasant one Through New Mexico Until crossed Pease River range buffalo pleasures ended And troubles begun lightnin storm come And made cattle run got full stickers cactus grow And outlaws waited pick hills Mexico Well working season ended But drover would pay said You spent money boys Youre debt But cowboys never put much stock thing like bankrupt law left bastards bones bleach range buffalo,folk
Children Abraham whats story Killing piece land Children Abraham aint glory Youve got walk together hand hand Take flags separate people Take wire boundary Take back words spoken anger Youve got live like family Children AbrahamI must dreaming Rivers blood running hands Children crying mothers screaming wasnt looking like Promised Land,folk
Coming London pole Flyin big jet liner Chicks flyin everywhere around plane Could ever feel much finer Comin Los Angeles Bringin couple keys Dont touch bags please mister customs man Theres guy ticket Mexico couldnt look much stranger Walkin hall things Smilin said lone ranger Comin Los Angeles Bringin couple keys Dont touch bags please mister customs man Hip woman walkin movin floor Trippin escalator Theres man line shes blowin mind Thinkin hes already made Comin Los Angeles Bringin couple keys Dont touch bags please mister customs man Comin London poll Flyin big airliner Chicks flyin everywhere around plane Could ever feel much finer Comin Los Angeles Bringin couple keys Dont touch bags please mister customs man Yeah alright,folk
This morning woke alone spent day time Lots people come gone hear cowboy sing old time song babe love This thing know aint right aint wrong hear cowboy sing old time song Last night sat till closing time Thinking things crossed mind You one thinking guess must love babe love This thing know aint right aint wrong hear cowboy sing old time song hope play song mine jukebox dime Then leave cause somethings wrong Youll hear cowboy sing old time song babe love This thing know aint right aint wrong hear cowboy sing old time song hear cowboy sing old time song,folk
Well new sheriff wrote letter Yes new sheriff wrote letter Come see dead alive Come see dead alive Dead alive hard road Its hard road dead alive Well even sent picture Yes even sent picture How look boys dead alive How look boys dead alive Dead alive hard road Its hard road dead alive Well said would pay expenses Yes said would pay expenses Dead alive thanks New sheriff poor boy hard road dead alive Dead alive hard road Well said would feed Yes said would feed Dead alive thanks New sheriff poor boy hard road dead alive Dead alive hard road Well sorry cant come sheriff Yes sorry cant come sheriff Dead alive thanks New sheriff poor boy hard road dead alive Dead alive hard road dont like hard rock hotel dont like hard rock hotel Dead alive new sheriff thanks poor boy hard road dead alive Dead alive hard road gotta see little sweet thing Gonna see little sweet thing Dead alive yes Lord thanks new sheriff hard road dead alive Dead alive hard road,folk
Words music Arlo Guthrie remember met Underneath evening sky Now seems could forget Rescue bound die All promises made With words understand And though Ive tried Ive come empty Heart stone drowning man going third time And need helping hand The rooster crows sinking Heart stone drowning man Where dear companion How much longer must alone ocean When come rescue Its late new beginnings world Ive left behind There nothing left worth keeping Not thing change mind How far road glory Must without sign Caught stormy waters How treat unkind Did know beginning That dig lousy hole dont leave abandoned dark night soul,folk
Gonna sit right sing tune That wrote one afternoon everyone gone And know wont mean lot Youve got better things Ill Old dog lying middle road dont nothing cause dont want And think gonna like hound Cause sits around less want Gonna sit right watch world roll Till die watching clouds eating flies Dont want bother one dont want nothing change dusty road weve ever dreamed And think gonna love life Maybe someday take wife She join wants Aint nobody gonna tell car comes move And move real smooth Like old dog moving must something air Some bitch coming road And think gonna like hound Cause gets around want,folk
dream morning That brings water And dream evening That brings wine Just poor mans daughter From Puerto Penasco Evangelina old Mexico Theres great hot desert South Mexicali And dont water Then better Tequila wont get Across desert Evangelina old Mexico And fire feel Woman love driving insane Knowing shes waiting And cant get Lord knows Ive Racked brain try find way see woman old Mexico met kind man Who guarded border said dont papers But Ill let tell love look eyes Shes rose desert old Mexico And fire feel Woman love driving insane Knowing shes waiting And cant get Lord knows Ive Racked brain try find way see woman old Mexico And dream morning That brings water And dream evening That brings wine Just poor mans daughter From Puerto Penasco Evangelina old Mexico Theres great hot desert South Mexicali And dont water Then better Tequila wont get Across desert Evangelina old Mexico Shes rose desert old Mexico,folk
Words Music Arlo Guthrie Every hand land Shakes along dont seem dream Like used dream Maybe somebody shaking fell could tell may somebody making Dream youre forever Gone away Every toe know Step away cant seem get want Maybe foot That keeps tripping Trip trap flip flap must come wherever comes Through cant walk dreams talk Every face place Take eyes away Blink think Theres another way Maybe eyes That dont see way The time blind may come pass That lose mind cant live without love left behind cant live without love left behind,folk
war peace truth twists curfew gull glides Upon four legged forest clouds cowboy angel rides With candle lit sun though glow waxed black All except beneath trees Eden The lamp post stands folded arms iron claws attached curbs neath holes babies wail Through shadows metal badge All fall crashing meaningless blow sound ever comes Gates Eden The savage soldier sticks head sand complains Unto shoeless hunter whos gone deaf still remains Upon beach hound dogs bay ships tattooed sails Heading Gates Eden The time rusted compass blade Aladdin lamp Sits Utopian hermit monks side saddle Golden Calf And promises paradise hear laugh All except inside Gates Eden Relationships ownership whisper wings condemned act accordingly wait succeeding kings And try harmonize songs lonesome sparrow sings There kings inside Gates Eden The motorcycle Black Madonna twowheeled gypsy queen And silverstudded phantom cause gray flannel dwarf scream weeps wicked birds prey pick bread crumb sins And sins inside Gates Eden The kingdoms experience precious winds rot While paupers change possessions Each one wishing got And princess prince discuss whats real whats doesnt matter inside Gates Eden The foreign sun squints upon bed never mine friends others strangers fates try resign Leaving men holy totally free anything wish die And trials inside Gates Eden dawn lover comes tells dreams With attempts shovel glimpse Into ditch one means times think words tell whats true And truths outside Gates Eden,folk
sleep weary hobo Let towns drift slowly Cant hear steel rail humming Thats hobos lullaby think tomorrow Let tomorrow come Tonight youre nice warm boxcar Safe wind snow know police cause trouble They cause trouble everywhere But die heaven You wont find policemen know clothes torn ragged And hair turning grey Lift head smile trouble Youll find happiness day sleep weary hobo Let towns drift slowly Dont feel steel rail humming Thats hobos lullaby,folk
ride old paint lead old dan goin Montana throw hoolihan They feed coulees water draw Their tails matted backs raw Ride around little dogies ride around slow For fiery snuffy rarin Old Bill Jones daughter son One went college went wrong His wife got killed poolroom fight But still hes asingin mornin till night When die take saddle wall Place old pony lead stall Tie bones saddle turn faces West And well ride prairie love best ride old paint lead old dan goin Montana throw hoolihan They feed coulees water draw Their tails matted backs raw,folk
climbing Jacobs ladder climbing Jacobs ladder climbing Jacobs ladder Brothers sisters Every rung goes higher higher Every rung goes higher higher Every rung goes higher higher Brothers sisters dancing Sarahs circle dancing Sarahs circle dancing Sarahs circle Sisters brothers Every round generation Every round generation Every round generation Sisters brothers climbing Jacobs ladder climbing Jacobs ladder climbing Jacobs ladder Brothers sisters,folk
Down way nights gay And sun shines daily mountain top took trip sailing ship And reached Jamaica made stop But sad say way Wont back many day heart head turning around leave little girl Kingston town Sounds laughter everywhere And dancing girls swaying fro must declare heart Though Ive Maine Mexico Down market hear Ladies cry head bear Ackie rice salt fish nice And rum good time year,folk
Lying side road Feeling like heard sound Shivered feelin knowed John looked John looked John looked long long road She gave John present fine fine Went see knowed John looked John looked John looked long long road And know hard But expect John looked see lady mind Even nothingness Standing darkest night And people want fight But first ask right John looked John looked John looked long long road And know hard But expect John looked,folk
Words music McCurdy Last night strangest dream ever dreamed dreamed world agreed put end war dreamed saw mighty room Filled women men And paper signing said Theyd never fight And paper signed And million copies made They joined hands bowed heads And grateful prayrs prayed And people streets Were dancing round round While swords guns uniforms Were scattered ground Last night strangest dream never dreamed dreamed world agreed put end war,folk
Lonely sunshine days come easy Spend time alone rest And last leave Now would roads less last leave Now would ribbon highway roads less wonderful Why must always slow Many friends come You know theres lot feelings Ive left behind And lonely world know When friends hard find But take time memory fails And soak eyes morning rain Like sailor sailing Jordan road back home last leave Would ribbon highway roads less wonderful Why must always slow,folk
want hop last train station Wont need get prepared When youre last train glory Youll know youre reasonably Maybe aint walked highway Youve flyin air But youre last train glory Youll know must paid fare Maybe youve lying jailhouse Maybe hungry poor Maybe ticket last train glory stranger sleeping floor aint man constant sorrow aint seen trouble day long passengers last train glory That soon long long gone want hop last train station Wont need get prepared When youre last train glory Youll know youre reasonably,folk
LAY DOWN LITTLE DOGGIES LAY DOWN WEVE BOTH GOT SLEEP THE COLD COLD GROUND THE WINDS BLOWIN COLDER AND THE SUNS GOIN DOWN LAY DOWN LITTLE DOGGIES LAY DOWN HIT THIS OLD BEEF TRAIL JUST TWO MONTHS AGO BLISTERED THE SUN AND FROZE THE SNOW TEN DAYS WERE COMIN PACKING HOUSETOWN LAY YOURSELVES DOWN LITTLE DOGGIES LAY DOWN THIS DODGE CITY TRAIL SHES HARD ROAD THE TEXAS FLATLANDS THROUGH OLD MEXICO GOT DUST EYES AND MUD NOSE LAY YOURSELVES DOWN LITTLE DOGGIES LAY DOWN THAT BAD HOLE WATER DRUNK AND GOT SICK CURLED OUT HAIR TIED OUR TAILS BACK KINKS GOT LOST BLIND CANYON TIPPYTOEIN AROUND LAY YOURSELVES DOWN LITTLE DOGGIES LAY DOWN HERE NOW COME THE END OUR TRAIL YOUR HAIR HIDE AND CARCASS THE STOCKYARDS SELL ILL SEE YOU TIN CAN WHEN YOU GET SHIPPED AROUND LAY YOURSELVES DOWN LITTLE DOGGIES LAY DOWN,folk
Coming highway running like wind Gonna beat sunset coast back Moving shadows almost going blind Living like legend time road dont kill baby Ill see spring Making lost time seems like everything make home alright know Ill treat fine Living like legend time know wasnt easy baby With man road Ill coming home tomorrow try help carry load running highways bridges burn This kind living taking toll Ive learned You know aint easy leaving behind Living like legend time But someday baby Ill coming home stay Wrapped warm love every night every day Ooh going mind Living like legend time know wasnt easy baby With man road Ill coming home tomorrow try help carry load Ill getting early cause know coming home tired living legend life alone Kick shoes babe well drink little wine Forget living like legend time Forget living like legend Just forget road look darling account man coming home,folk
tell Lord Grenville tide turn Its time haul anchor leave land astern Well gone dawn returns Like voices onthe wind tell Lord Grenville dreams run aground Theres nothing keep shanty town None caring bound Like voices wind And come day youll hear saying Theyre throwing away Nothing say Just throwing away fetch captains log tear pages Were way nowhere cant bring helm None left doubt wont back Send message fleet theyll search vain wont among reaches Spanish Main Tell ones left home wait wont back And come day youll hear saying Theyre throwing away Nothing say Just throwing away Our time point along line That runs forever end never thought would come find Ourselves upon rocks tell Lord Grenville tide turn,folk
Irving Mills Cliff Friend got feelin called blues Since baby said goodbye Lawd dont know lll All sit sigh That last long day said goodbye Well Lawd thought would cry Shed shed Shes got kind lovin Lawd love hear When calls sweet daddy Such beautiful dream hate think lost heart seems Ive grown used somehow But nobodys sugar daddy And lonesome got lovesick blues love love beautiful gal Thats whats matter love love beautiful gal But dont care Lawd tried tried keep satisfied But wouldnt stay leavin This say,folk
Words music Robb MacKay Some times sun goes And lost town thoughts may drift away Manzanillo Bay And see fisherman His days catch Iying sand Underneath palms sway Over Manzanillo Bay Now missing silver moon Black sands blue lagoon Some day would like Back next shining sea Drinking rum conch shell Caught magic spell Some day would like Back Mexico remember fields cane Your warm breezes jungle rains And watching children play Over Manzanillo Bay And market square The women sing sell wares Ive got fresh shrimp today From Manzanillo Bay And spell night The bay reflecting harbor light You hear guitar play Over Manzanillo Bay And youre thinking romance And youre willing take chance Just pick small cafe Manzanillo Bay Some times sun goes And lost town thoughts may drift away Manzanillo Bay,folk
Like dream night snow settles white Theres fire burning bright Massachusetts And theres house upon hill That keeps chill And grace God Massachusetts You tell times spent Rockies plains Please dont think last say That aint lots places world still remain Beautiful unchanged But theyre The sun comes meet dawn And theres day must Theres another night thats gone Massachusetts And could spend days And remain day amazed way day phrased Massachusetts You tell times spent Rockies plains Please dont think last say That aint lots places world still remain Beautiful unchanged But theyre Now could see know would agree There aint nowhere else Like Massachusetts And theres house upon hill That keeps chill And grace God Massachusetts Come tell time spent Rockies plains And please dont think last say That aint lots places world still remain Beautiful unchanged But theyre Massachusetts,folk
growing tired big city lights Tired glamor tired sights dreams roaming Back home old river shore sad weary far away home Miss Mississippi dear Days dark dreary everywhere roam Miss Mississippi Roaming wide world Always along blue blue Nothing seems cheer heavens dome Miss Mississippi Memories bringing happy days yore Miss Mississippi dear Mocking birds singing round cabin door Miss Mississippi Roaming wide world Always alone blue Longing form homeland muddy water shore Miss Mississippi,folk
Words music James Rider Just friend roamin around Him magician clown Playin streets dollar day Waitin right time sign lead way Crossed border mystical land Sort unexpected didnt quite understand razors edge grain sand Onward wandered gates oblivion roll dice headed west Where sage spice attracted Shadows fell like dark groping hand Saw teeth wolves blood lambs turn cards lightened load Throwing fear weakness holds target calm vision clear Beyond mirage took granted flip coins rode coast Tryin make every situation That witnessed near hand drifters crusade land Could stars passing cars table bar turn cards change mind passing time ribbon rhyme line Just friend roamin around Him magician clown Playin streets dollar day Waitin right time sign lead way,folk
Hello mornin dawn burned away The midnight mist Now feel fine And dont feel lonely Now mind want outside today away think Ill stay Now talk And turn Now dont feel blue Maybe could tell really love Pleased understand air Now turn Now must gone Now said Say long forever,folk
Many month come gone Since Ive wandered home Oklahoma hills Where born Many page life turned Many lessons learned And feel like hills Where belong Way yonder Indian nation Ridin pony reservation Oklahoma hills born Way yonder Indian nation cowboys life occupation Oklahoma Hills born But sit today Many miles away From place rode pony Through draw Where oak blackjack trees Kiss playful prairie breeze And feel back hills Where belong Now turn life page land great Osage Oklahoma hills Where born Where black oil rolls flows And snow white cotton grows And feel like hills Where belong,folk
Words music Arlo Guthrie Living fortune Placed fates mysterious schemes Whod believe ones asked try rekindle patriots dreams Arise sweet destiny time runs short All patience heard retort Hear alone cant seem try rekindle patriots dreams Can hear words whispered All along American stream Tyrants freed imprisoned Try rekindle patriots dreams perhaps much asked You children nothing Hear alone cant seem try rekindle patriots dreams,folk
Bad news bad news come sleep Turn turn turn Sayin one friends trouble deep Turn turn wind rain Tell trouble tell ears Turn turn turn Juliet prison ninetynine years Turn turn wind rain crash highway threw car field Turn turn turn There four people killed wheel Turn turn wind rain But knew well know self Turn turn turn And wouldnt harm life belonged someone else Turn turn wind rain That may said judge side mouth Turn turn turn But witness saw left little doubt Turn turn wind rain may may sentence server Turn turn turn But ninetynine years deserve Turn turn wind rain Too late late case sealed Turn turn turn sentence passed repealed Turn turn wind rain But aint criminal crime none Turn turn turn And happened could happened anyone Turn turn wind rain judge jumped forward face freeze Turn turn turn Sayin Would kindly leave office please Turn turn wind rain squinted eyes stood slow Turn turn turn With choice except Turn turn wind rain walked hall heard door slam Turn turn turn walked stairs understand Turn turn wind rain And played guitar night day Turn turn turn But tune guitar would play Was cruel wind rain,folk
TBone Burnett The power love make blind man see Can bring man knees The power love make sultan grieve Can make skeptic believe The power love make coward brave Can make hero afraid The power love make miser give Can make dead man live,folk
Words music Arlo Guthrie event demise sure include statement When bent closing eyes Thinking life meant Alone hill back Things looked lot like changing Singing songs harmonized Dreaming worlds rearranging And dont know singing tonight Maybe time someone told Just say youve seen light Doesnt mean nobody sold remember smiles During demonstrations Taking seemed like whole world Igniting hearts nations And together sang victory songs Though worlds apart Every thing passed away Except love heart Sitting home computerized beds Tryine come conclusions Seeing reflections rosecolored heads Ignoring states illusion Drunk world material wealth one notice falling Fantastic flights good tor health Now make deaf calling And alone prophet groans With words yet unseen Wholl awake master returns Who lost dreams event demise sure include statement Only words love kept alive Are worthy wasted,folk
When evening chores ranch house plains And theres nothing left lay around saddle pony riding trail Just watch desert sun White faced cattle lowing sagebrush everywhere Granite spires standing around Ill tell folks heaven ridin trail Just watch desert sun Ridin canyon watch sun picture artist ere could paint Cactus plants bloomin mountain side hear coyote calling mate White faced cattle lowing sagebrush everywhere Granite spires standing around Ill tell folks heaven ridin trail Just watch desert sun White faced cattle lowing sagebrush everywhere Granite spires standing around Ill tell folks heaven ridin trail Just watch desert sun When evening chores ranch house plains And theres nothing left lay around saddle pony riding trail Just watch desert sun White faced cattle lowing sagebrush everywhere Granite spires standing around Ill tell folks heaven ridin trail Just watch desert sun,folk
Words music Pete Seeger Sailng golden river Sun water Yet never alone Sun water old life givers Lll ere roam And far home Sunlight glancing water Life death Yet never alone Life sons daughters Golden sparkles foam And far home Sailing winding highway Travelers near far And never alone Exploring little byways Sighting distant stars And far home Sailing golden river Sun water Yet never alone Sun water old life givers Lll ere roam And far home Yet never alone And far home,folk
The Missouri shes might riverAway rolling river The red mans camp lies bordersAway bound away across wide Missouri white man loved Indian maidenAway rolling river With notions sweet canoe ladenAway bound away across wide Missouri Shenandoah love daughterAway rolling river Ill take cross rolling waterAway bound away across wide Missouri chief disdained traders dollarsAway rolling river daughter never shall followAway bound away across wideMissouri last came Yankee skipperAway rolling river winked eye tipped flipper Away bound away across wideMissouriHe sold chief fire water Away rolling river cross river stole daughter Away bound away across wideMissouriO Shenandoah long hear Away rolling riverAcross wide rolling water Away bound away across wideMissouri,folk
Ive wild Montana went storm boots Texas leather Levis wet torn loved Montana Loved storm think gonna cross river might reborn New York New York winter Takin city ride Somebody tall musta put lights Cause got real dark outside And never saw sun till But never gave fight sure glad saw dawn Somebody somebody turned light Somebody turned light Women wine fast red cars And couldnt seem read signs Somebody said Whose life And said cant mine When world wrong better right Itll make dark clouds fly Nobody tall put lights Just dont let spirit die never see sun till Dont ever give fight Sure glad see dawn Somebody somebody turns light Somebody turns light,folk
Someday Ill When youre Ill knew Someday meet When meet Ill see knew Ill make farewell seem Little dream knew Dreams often true Someday Ill When youre Ill knew Ill Someday meet When meet sorrows end knew,folk
Every morning soon light Get bed feeling alright Make coffee sit alone The rest day telephone Hang hold You got dime come strong Save money let Hang phone quit bothering got phone bedroom one barn phone car one yard phone saddle range phone pocket grange Hang hold You got dime come strong Save money let Hang phone quit bothering Now devaluation land The whole wide world got money hand Theyll calling Peking Nome going rip telephone,folk
struck trail seventynine The herd strung behind jogged along mind went back gal left behind ever get trail boys And Indians dont find Ill make way straight back gal left behind That sweet little gal true little gal The gal left behind That sweet little gal pretty little gal The gal left behind The wind blow rain flow The hail fall blind And thought gal sweet little gal That gal left behind She wrote ahead place said And glad find She says true get Ride back find That sweet little gal true little gal The gal left behind That sweet little gal pretty little gal The gal left behind When sold took train knew would find When got back smack And thats goldarned liar That sweet little gal true little gal The gal left behind That sweet little gal pretty little gal The gal left behind,folk
dont want pickle Just want ride motorcycle And dont want tickle Cause rather ride motorcycle And dont want die want ride motorcycle late last night day thought see Ray went saw Ray There one thing Ray could say Just last week bike run friend named Mike Run friend named Mike Mike longer bike cries,folk
